Name,Location,Latitude, Longitude, Capacity(MW),Remarks
Tiefstack Power Station,Hamburg,53.3137, 10.349,321, - Coal and gas
Veltheim Power Plant,Veltheim,52.1123, 8.561,880, - Coal
Völklingen-Fenne Power Plant,Völklingen,49.1458.48, 6.5253.2,600, - 
Voerde Power Plant,"Voerde, North Rhine-Westphalia",51.3437.65, 6.4053.19,2234, - Coal (lignite)
Walheim Power Plant,Walheim,49.016.38, 9.926.39,253, - Coal
Walsum Power Station,"Walsum, North Rhine-Westphalia",51.3142.81, 6.4252.54,410,1988 - Coal
Werdohl-Elverlingsen Power Station,"Werdohl, North Rhine-Westphalia",51.1633.04, 7.4226.24,637, - Coal
Wedel CHP Plant,Wedel,53.3359.25, 9.4332.14,260, - Coal
Weiher-3 CHP Plant,"Quierschied-Weiher, Saarland",49.205.23, 7.27.85,680, - Coal
Weisweiler Power Plant,Eschweiler,50.5021.14, 6.1925.88,2457," - Primary: Coal (lignite),"
Westfalen Hamm Power Plant[6],"Uentrop-Schmehausen, North Rhine-Westphalia",51.4036, 7.5821,850,2007 - Natural gas
Wilhelmshaven Power Station (E.ON),"Wilhelmshaven, Lower Saxony",53.3353, 8.849,747,1976 - Coal
Westerholt Power Station,"Gelsenkirchen, North Rhine-Westphalia",51.364.48, 7.352.16,,1997 - Coal
Wuppertal-Barmen Heating Power Plant,Wuppertal,51.168.86, 7.121.71,56, - 
Wuppertal-Elberfeld Heating Power Plant,Wuppertal,51.1454.19, 7.77.61,100, - 
Zolling CHP plant,"Zolling, Bavaria",48.2719.05, 11.4758.25,449," - Coal,"
